word,cnt_word
42am,1
42ftzmolqe,1
42imacgcn0,1
42opvsjxjp,1
42vcwr5gka,1
42zpww9vzy,1
43,16
433,1
435,4
43m,1
43ooci4jvo,1
43u4t34jgf,1
43uemp8zni,1
44,16
442,1
443,1
44brm8nfbb,1
44qyfsq07a,1
44th,1
45,50
450,9
454v9gfpgf,1
455lhtzryz,1
45c0tu3wxt,1
45g7qpxq7t,1
45kihxdx83,1
45mtfzkba2,1
45office,3
45pm,2
45pme,1
45q70ps7ok,1
45rzrdqw1q,1
45th,15
45vyk6z18m,1
45yxturlqj,1
46,11
465,1
466,2
46jb64lald,1
46m20cjklb,1
46th,1
47,54
470,1
473,1
475ct7hw3d,1
478,1
47azkd0l9b,1
47k9i4p3j2,1
47ov6z4rqc,1
48,17
481,1
487k,1
48ieqgcht2,1
48m,1
49,18
495,1
49i45oohec,1
49m,1
4a5ubgymbf,1
4adpaskjiu,1
4am,1
4aryzcggyz,1
4b,1
4bgkz0pmqd,1
4bjyabvv6g,1
4bvt23zqyg,1
4bwjocgnnv,1
4c8wlqzrlf,2
4ccxay5zno,1
4cfzqxb5as,1
4cidco151e,1
4dgpummisf,1
4dmvvj4im6,1
4dotcc9kue,1
4drphxzbwh,1
4duvyjzcuy,1
4e0xflzwlf,1
4e8awdkx93,1
4efjbqxjgw,1
4eowyhwzj3,1
4epzqpjfi7,1
4er1m6e39s,1
4etkuz9yuf,1
4ewns6fzcx,1
4f4qk4wftk,1
4f550crmqt,1
4fbavlu8ir,1
4fhncx2ydg,1
4fms202nrw,1
4ftydj8s9u,1
4fuppl5wom,1
4fzctzigqe,1
4g,1
4gejmvto2j,1
4gg1igohyg,1
4ghvnz8lda,1
4grmmdohs1,1
4gumagoa3j,1
4gwahgf8us,1
4gxm8psmu1,1
4h,1
4hbumgeahi,1
4hekpql3oy,2
4hnxkr3ehw,1
4hssyq1wrx,1
4huhvnl4wq,1
4hy92b3kd7,1
4ibupe7ptt,1
4igwdl4kia,1
4ihuluzjsv,1
4ihvudoygc,1
4iw06rovst,1
4j84pt678r,1
4j9bbhc77n,1
4jaxjnbjoq,1
4jfhyydeho,1
4jh6nf63xi,1
4jiipautgi,1
4jizofzal4,1
4jn4lw63fv,1
4k,2
4k3u8jurih,1
4kmnlrkg7c,1
4kmtqsvf5z,1
4kpofeii3i,1
4ktc6om308,1
4lb9bwrvrl,1
4lh5pzri9c,1
4lj94nxodu,1
4ljbpsm8xa,1
4llqlrnpk3,1
4lmkipzdwo,1
4lnzfkrsqz,1
4ltwlgbmsf,1
4lwfz2eqii,1
4lxrphm8h8,1
4lz4puwkzv,1
4m,1
4m4pd7qkwl,1
4m6dabtxcv,1
4ma5jskfu7,1
4mfylnoi7y,1
4months,1
4moreyears,1
4mtmr8kxvb,1
4mvwuj9ex9,1
4n2c0oxmve,1
4nebsa3k1h,1
4nljrgyfyw,2
4nrblzfoxk,1
4nwxoquozj,1
4nzyjxqafm,1
4o3riyycyw,1
4o4yjh7x4o,1
4oaxxuj9va,1
4ogp3tpxyp,1
4ojdqtmeix,1
4osudwizwo,1
4otzyjylc2,1
4our,1
4ovszcxyev,1
4ow72iddqx,1
4p,1
4p0hzpkvwf,1
4p0tzvzn0e,1
4p23avkki3,1
4p7amki4iq,1
4pdkdqr75c,1
4peq3sswdz,1
4pggvq8rli,1
4pjsoeu5y9,1
4pm,7
4pm3j1glev,1
4pme,2
4pmhttps,2
4q7ojhkoqv,1
4qckkpbtcr,1
4qe7fb6r3k,1
4qgdzulzfw,1
4qmp6xruva,1
4qszl8dy7v,1
4qwckqoiow,1
4qwfluhfn7,1
4qwvkutg5t,1
4revxkusht,1
4rfsnw3rzf,1
4ry1faptl6,1
4s4pnx4q6r,1
4sej2vbxxo,1
4sgmwgotof,1
4sis7tme17,1
4tdlijpa7t,1
4th,38
4thofjuly2020,1
4tpticdsr1,1
4trasr2jam,1
4twxj4blje,1
4tymy651zp,1
4u,1
4u6pny2d6y,1
4uaazd7tmf,1
4ucx678zcc,1
4ufmacmkg5,1
4ugyujpua7,1
4ujduovlpj,1
4uwswuhb2u,1
4v7nu5hh8v,1
4v7nu5ysxv,1
4vbxieiten,1
4vvsw2smhb,1
4wg4buk9gp,1
4wuo,1
4wv5ccfens,1
4wwia83prg,1
4wx0xdkiak,1
4x9gw1rhws,1
4xbzgjagj5,1
4xmc4xkwjm,1
4xmehjkxuk,1
4xundoncob,1
4xwfr1jz9i,1
4xyficrhxc,1
4yco01xycn,2
4yfhklzlv9,1
4ynsxvo9e9,2
4yrs,1
4ysikmflle,2
4yvpax9j3b,1
4yzjh3tr5b,1
4z8eocm6pa,1
4zbjktus9t,1
4zenoqpq11,2
4zlmeetcpg,1
4zuorrdcoc,1
4人だけの夕食会,1
50,150
500,78
5000,10
500days,1
500k,5
500m,2
500th,1
503l3jzllx,1
504,1
507k,1
50k,1
50m,1
50th,3
51,51
517,1
519bvrfcu2,1
51emq7tffa,1
51yrs,1
52,24
523,1
525,1
5286zgrvwq,1
52e3lu3w77,1
53,18
530,3
533,2
538eyyfwdq,1
539,1
53jw6ikijn,1
53qhbks7ya,1
53rd,1
53rdwrs,3
53yv7x3cdd,1
54,7
541,1
546,2
548,1
54k,1
54yvc4ddfe,1
55,16
550,3
551,1
555,1
557p906pgl,1
55lidsville,1
55squdic0s,1
55zhyvtpuu,1
56,11
560k,1
562,1
565,1
569,1
56e8qy7o22,1
56gkqtm7oc,1
57,5
571,1
573,1
577,1
578,1
579bfpa4td,1
579srlbxyp,1
57gxhvh2k2,1
57tngl1w2i,1
58,8
580b,1
580k,1
581,1
587vgwq49g,1
589,2
5895,1
58dttyhir4,1
58qwblzxih,1
58ssx7efuj,1
59,6
593,1
593p8urphq,1
599e8a6ogf,1
59g6x2f7fd,1
5akgvpv8aa,1
5amh8nfpjw,1
5asjvlgaig,1
5ayq4dr8ip,1
5azhe5dt9a,1
5b,1
5bbzwqkgmv,1
5bef9vbmxc,1
5bfdrydd6a,2
5bv3ikran0,1
5bvvewmvf8,1
5byzgnuf7z,1
5c0bpzrw7d,1
5cb4qdyzpu,1
5chnyyvmb1,2
5cr2oybrnq,1
5crp5zdxsz,1
5ctapougt9,1
